2022-01-04 11:14:23 status half-installed iputils-ping:amd64 3:20190709-3
2022-01-04 11:14:23 status unpacked iputils-ping:amd64 3:20190709-3
2022-01-04 11:14:23 install libpam-cap:amd64 <none> 1:2.32-1
2022-01-04 11:14:23 status half-installed libpam-cap:amd64 1:2.32-1
2022-01-04 11:14:23 status unpacked libpam-cap:amd64 1:2.32-1
2022-01-04 11:14:23 startup packages configure
2022-01-04 11:14:23 configure libcap2:amd64 1:2.32-1 <none>
2022-01-04 11:14:23 status unpacked libcap2:amd64 1:2.32-1
2022-01-04 11:14:23 status half-configured libcap2:amd64 1:2.32-1
2022-01-04 11:14:23 status installed libcap2:amd64 1:2.32-1
2022-01-04 11:14:23 configure libcap2-bin:amd64 1:2.32-1 <none>
2022-01-04 11:14:23 status unpacked libcap2-bin:amd64 1:2.32-1
2022-01-04 11:14:23 status half-configured libcap2-bin:amd64 1:2.32-1
2022-01-04 11:14:23 status installed libcap2-bin:amd64 1:2.32-1
2022-01-04 11:14:23 configure libpam-cap:amd64 1:2.32-1 <none>
2022-01-04 11:14:23 status unpacked libpam-cap:amd64 1:2.32-1
2022-01-04 11:14:23 status half-configured libpam-cap:amd64 1:2.32-1
2022-01-04 11:14:23 status installed libpam-cap:amd64 1:2.32-1
2022-01-04 11:14:23 configure iputils-ping:amd64 3:20190709-3 <none>
2022-01-04 11:14:23 status unpacked iputils-ping:amd64 3:20190709-3
2022-01-04 11:14:23 status half-configured iputils-ping:amd64 3:20190709-3
2022-01-04 11:14:23 status installed iputils-ping:amd64 3:20190709-3
2022-01-04 11:14:23 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2022-01-04 11:14:23 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 11:14:23 status installed libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 11:14:58 startup archives unpack
2022-01-04 11:14:58 install libcurl4:amd64 <none> 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 11:14:58 status half-installed libcurl4:amd64 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 status unpacked libcurl4:amd64 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 install curl:amd64 <none> 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 status half-installed curl:amd64 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 status unpacked curl:amd64 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 startup packages configure
2022-01-04 11:14:58 configure libcurl4:amd64 7.68.0-1ubuntu2.7 <none>
2022-01-04 11:14:58 status unpacked libcurl4:amd64 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 status half-configured libcurl4:amd64 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 status installed libcurl4:amd64 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 configure curl:amd64 7.68.0-1ubuntu2.7 <none>
2022-01-04 11:14:58 status unpacked curl:amd64 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 status half-configured curl:amd64 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 status installed curl:amd64 7.68.0-1ubuntu2.7
2022-01-04 11:14:58 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2022-01-04 11:14:58 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 11:14:58 status installed libc-bin:amd64 2.31-0ubuntu9.2
